transaction_id,customer_id,product_id,quantity,price,date,status
TXN000001,CUST0101,PROD0201,2,15.0,2024-01-01,completed
TXN000002,CUST0102,PROD0202,3,20.0,2024-01-01,completed
TXN000003,CUST0103,PROD0203,4,25.0,2024-01-01,completed
TXN000004,CUST0104,PROD0204,5,30.0,2024-01-01,completed
TXN000005,CUST0105,PROD0205,1,35.0,2024-01-01,completed
TXN000006,CUST0106,PROD0206,2,40.0,2024-01-01,completed
TXN000007,CUST0107,PROD0207,3,45.0,2024-01-01,completed
TXN000008,CUST0108,PROD0208,4,50.0,2024-01-01,completed
TXN000009,CUST0109,PROD0209,5,55.0,2024-01-01,completed
TXN000010,CUST0110,PROD0210,1,10.0,2024-01-01,
TXN000011,CUST0111,PROD0211,2,15.0,2024-01-01,completed
TXN000012,CUST0112,PROD0212,3,20.0,2024-01-01,completed
TXN000013,CUST0113,PROD0213,4,25.0,2024-01-01,completed
TXN000014,CUST0114,PROD0214,5,30.0,2024-01-01,completed
TXN000015,CUST0115,PROD0215,1,35.0,2024-01-01,completed
TXN000016,CUST0116,PROD0216,2,40.0,2024-01-01,completed
TXN000017,CUST0117,PROD0217,3,45.0,2024-01-01,completed
TXN000018,CUST0118,PROD0218,4,50.0,2024-01-01,completed
TXN000019,CUST0119,PROD0219,5,55.0,2024-01-01,completed
TXN000020,CUST0120,PROD0200,1,10.0,2024-01-01,
TXN000021,CUST0121,PROD0201,2,15.0,2024-01-01,completed
TXN000022,CUST0122,PROD0202,3,20.0,2024-01-01,completed
TXN000023,CUST0123,PROD0203,4,25.0,2024-01-01,completed
TXN000024,CUST0124,PROD0204,5,30.0,2024-01-01,completed
TXN000025,CUST0125,PROD0205,1,35.0,2024-01-01,completed
TXN000026,CUST0126,PROD0206,2,40.0,2024-01-01,completed
TXN000027,CUST0127,PROD0207,3,45.0,2024-01-01,completed
TXN000028,CUST0128,PROD0208,4,50.0,2024-01-01,completed
TXN000029,CUST0129,PROD0209,5,55.0,2024-01-01,completed
TXN000030,CUST0130,PROD0210,1,10.0,2024-01-01,
TXN000031,CUST0131,PROD0211,2,15.0,2024-01-01,completed
TXN000032,CUST0132,PROD0212,3,20.0,2024-01-01,completed
TXN000033,CUST0133,PROD0213,4,25.0,2024-01-01,completed
TXN000034,CUST0134,PROD0214,5,30.0,2024-01-01,completed
TXN000035,CUST0135,PROD0215,1,35.0,2024-01-01,completed
TXN000036,CUST0136,PROD0216,2,40.0,2024-01-01,completed
TXN000037,CUST0137,PROD0217,3,45.0,2024-01-01,completed
TXN000038,CUST0138,PROD0218,4,50.0,2024-01-01,completed
TXN000039,CUST0139,PROD0219,5,55.0,2024-01-01,completed
TXN000040,CUST0140,PROD0200,1,10.0,2024-01-01,
TXN000041,CUST0141,PROD0201,2,15.0,2024-01-01,completed
TXN000042,CUST0142,PROD0202,3,20.0,2024-01-01,completed
TXN000043,CUST0143,PROD0203,4,25.0,2024-01-01,completed
TXN000044,CUST0144,PROD0204,5,30.0,2024-01-01,completed
TXN000045,CUST0145,PROD0205,1,35.0,2024-01-01,completed
TXN000046,CUST0146,PROD0206,2,40.0,2024-01-01,completed
TXN000047,CUST0147,PROD0207,3,45.0,2024-01-01,completed
TXN000048,CUST0148,PROD0208,4,50.0,2024-01-01,completed
TXN000049,CUST0149,PROD0209,5,55.0,2024-01-01,completed
TXN000050,CUST0100,PROD0210,1,10.0,2024-01-01,
TXN000051,CUST0101,PROD0211,2,15.0,2024-01-01,completed
TXN000052,CUST0102,PROD0212,3,20.0,2024-01-01,completed
TXN000053,CUST0103,PROD0213,4,25.0,2024-01-01,completed
TXN000054,CUST0104,PROD0214,5,30.0,2024-01-01,completed
TXN000055,CUST0105,PROD0215,1,35.0,2024-01-01,completed
TXN000056,CUST0106,PROD0216,2,40.0,2024-01-01,completed
TXN000057,CUST0107,PROD0217,3,45.0,2024-01-01,completed
TXN000058,CUST0108,PROD0218,4,50.0,2024-01-01,completed
TXN000059,CUST0109,PROD0219,5,55.0,2024-01-01,completed
TXN000060,CUST0110,PROD0200,1,10.0,2024-01-01,
TXN000061,CUST0111,PROD0201,2,15.0,2024-01-01,completed
TXN000062,CUST0112,PROD0202,3,20.0,2024-01-01,completed
TXN000063,CUST0113,PROD0203,4,25.0,2024-01-01,completed
TXN000064,CUST0114,PROD0204,5,30.0,2024-01-01,completed
TXN000065,CUST0115,PROD0205,1,35.0,2024-01-01,completed
TXN000066,CUST0116,PROD0206,2,40.0,2024-01-01,completed
TXN000067,CUST0117,PROD0207,3,45.0,2024-01-01,completed
TXN000068,CUST0118,PROD0208,4,50.0,2024-01-01,completed
TXN000069,CUST0119,PROD0209,5,55.0,2024-01-01,completed
TXN000070,CUST0120,PROD0210,1,10.0,2024-01-01,
TXN000071,CUST0121,PROD0211,2,15.0,2024-01-01,completed
TXN000072,CUST0122,PROD0212,3,20.0,2024-01-01,completed
TXN000073,CUST0123,PROD0213,4,25.0,2024-01-01,completed
TXN000074,CUST0124,PROD0214,5,30.0,2024-01-01,completed
TXN000075,CUST0125,PROD0215,1,35.0,2024-01-01,completed
TXN000076,CUST0126,PROD0216,2,40.0,2024-01-01,completed
TXN000077,CUST0127,PROD0217,3,45.0,2024-01-01,completed
TXN000078,CUST0128,PROD0218,4,50.0,2024-01-01,completed
TXN000079,CUST0129,PROD0219,5,55.0,2024-01-01,completed
TXN000080,CUST0130,PROD0200,1,10.0,2024-01-01,
TXN000081,CUST0131,PROD0201,2,15.0,2024-01-01,completed
TXN000082,CUST0132,PROD0202,3,20.0,2024-01-01,completed
TXN000083,CUST0133,PROD0203,4,25.0,2024-01-01,completed
TXN000084,CUST0134,PROD0204,5,30.0,2024-01-01,completed
TXN000085,CUST0135,PROD0205,1,35.0,2024-01-01,completed
TXN000086,CUST0136,PROD0206,2,40.0,2024-01-01,completed
TXN000087,CUST0137,PROD0207,3,45.0,2024-01-01,completed
TXN000088,CUST0138,PROD0208,4,50.0,2024-01-01,completed
TXN000089,CUST0139,PROD0209,5,55.0,2024-01-01,completed
TXN000090,CUST0140,PROD0210,1,10.0,2024-01-01,
TXN000091,CUST0141,PROD0211,2,15.0,2024-01-01,completed
TXN000092,CUST0142,PROD0212,3,20.0,2024-01-01,completed
TXN000093,CUST0143,PROD0213,4,25.0,2024-01-01,completed
TXN000094,CUST0144,PROD0214,5,30.0,2024-01-01,completed
